DIA;HORA;ox;diox;o3;t
13;21;23.766;14.801;15.258;18.881
13;22;43.622;25.046;3.118;16.8
13;23;37.916;24.535;3.802;16.359
14;0;32.465;20.732;4.642;15.887
14;1;33.121;19.662;4.096;15.616
14;2;25.661;16.945;6.75;15.629
14;3;21.973;14.128;8.469;15.656
14;4;20.057;12.601;10.61;16.123
14;5;20.97;13.06;8.152;15.921
14;6;23.42;14.616;6.283;15.437
14;7;21.613;12.574;14.776;18.091
14;8;16.634;9.155;20.324;21.452
14;9;16.421;8.743;22.077;23.673
14;10;16.292;8.662;24.124;25.791
14;11;15.797;8.391;27.202;27.446
14;12;15.562;8.284;29.179;29.285
14;13;15.127;7.88;32.549;31.221
14;14;18.026;10.281;36.771;32.843
14;15;30.255;20.835;38.748;30.45
14;16;25.907;17.146;43.998;29.027
14;17;30.135;21.879;42.781;26.868
14;18;27.181;19.798;38.793;23.897
14;19;28.682;21.104;31.287;22.451
14;20;24.679;17.366;30.418;21.805
14;21;23.666;16.283;28.975;21.413
14;22;29.975;21.513;14.874;19.886
14;23;31.392;23.176;10.39;18.704
15;0;28.923;20.305;9.427;18.061
15;1;26.306;17.66;9.44;17.797
15;2;22.939;15.06;11.885;17.57
15;3;21.179;13.805;16.089;18.203
15;4;24.053;16.016;13.277;18.185
15;5;25.174;17.292;13.72;19.292
15;6;31.438;21.886;9.993;19.802
15;7;33.971;22.284;8.918;19.816
15;8;41.821;22.999;7.739;21.124
15;9;24.62;15.068;19.829;27.291
15;10;20.726;12.167;25.467;29.403
15;11;19.576;11.462;28.357;30.909
15;12;18.408;10.614;31.543;32.551
15;13;18.513;10.678;34.127;34.498
15;14;23.02;12.504;34.08;35.579
15;15;30.135;16.165;40.111;32.855
15;16;26.605;13.403;39.878;23.835
15;17;19.115;10.546;38.728;22.358
15;18;19.651;11.842;40.308;22.318
15;19;19.416;12.198;38.946;22
15;20;19.148;12.186;36.388;21.811
15;21;22.166;13.822;26.457;20.674
15;22;101.773;24.833;20.31;21.458
15;23;24.472;15.924;20.255;19.605
16;0;21.991;14.436;22.875;19.591
16;1;19.223;12.056;23.972;20.51
16;2;18.254;11.1;25.355;21.751
16;3;18.14;11.157;25.23;22.497
16;4;17.539;10.452;24.214;22.241
16;5;22.2;14.399;16.963;21.171
16;6;35.762;22.798;5.606;19.521
16;7;46.022;23.643;3.073;18.63
16;8;58.008;25.389;3.639;20.283
16;9;40.61;24.149;9.666;24.741
16;10;35.275;21.424;17.438;26.652
16;11;28.504;18.113;25.185;28.044
16;12;21.117;13.004;35.402;28.838
16;13;17.679;10.254;40.555;29.93
16;14;16.002;8.771;41.912;28.656
16;15;15.913;8.753;43.424;28.032
16;16;15.941;8.743;41.172;25.43
16;17;18.037;10.9;41.008;24.087
16;18;20.675;13.429;36.146;22.868
16;19;28.395;20.298;23.452;21.941
16;20;62.01;42.719;3.736;21.7
16;21;58.96;33.707;3.485;20.383
16;22;48.951;29.748;2.92;19.221
16;23;58.834;26.457;2.624;18.386
17;0;44.494;25.671;2.615;18.101
17;1;38.612;25.042;3.204;17.756
17;2;37.46;24.758;3.198;17.389
17;3;29.003;20.061;8.864;18.008
17;4;24.512;16.886;11.685;18.853
17;5;24.414;16.334;10.22;18.551
17;6;26.786;18.275;9.489;18.751
17;7;33.637;22.18;6.595;19.249
17;8;41.95;23.263;6.195;21.384
17;9;28.456;17.482;18.142;26.059
17;10;23.1;13.837;23.37;27.794
17;11;20.034;11.886;30.71;29.661
17;12;18.208;10.626;34.611;31.185
17;13;18.338;10.743;35.691;32.79
17;14;20.771;11.049;36.043;34.192
17;15;24.177;11.381;39.197;34.81
17;16;37.499;16.895;39.163;34.873
17;17;38.271;16.642;38.572;34.056
17;18;50.413;24.143;35.53;29.836
17;19;42.804;24.623;35.591;26.334
17;20;39.907;27.633;30.072;25.242
17;21;29.666;21.324;31.524;24.436
17;22;54.35;37.165;10.234;23.517
17;23;50.447;34.803;7.585;22.581
18;0;34.141;25.318;23.541;23.783
18;1;21.12;13.884;41.863;24.313
18;2;25.416;18.051;39.255;23.532
18;3;16.644;9.659;43.163;23.239
18;4;16.644;9.639;38.103;23.074
18;5;21.51;13.808;28.406;21.842
18;6;24.805;16.983;20.816;20.287
18;7;27.004;19.214;25.398;21.241
18;8;32.13;23.359;21.799;22.234
18;9;33.358;23.273;20.344;23.853
18;10;22.969;14.647;30.154;26.552
18;11;20.758;12.933;36.96;29.074
18;12;19.348;11.711;40.884;29.448
18;13;16.501;9.169;39.702;27.962
18;14;19.73;11.349;36.024;27.096
18;15;16.927;8.945;36.373;25.57
18;16;16.341;8.891;34.019;24.708
18;17;14.966;7.918;33.207;23.622
18;18;14.233;7.296;32.171;22.924
18;19;15.331;8.282;31.867;22.749
18;20;15.68;8.58;30.35;22.44
18;21;18.32;11.073;27.294;22.409
18;22;21.311;13.638;25.484;22.513
18;23;23.204;15.16;25.151;22.348
19;0;23.921;16.233;25.588;22.309
19;1;18.831;11.365;24.726;21.339
19;2;18.48;10.981;22.403;20.773
19;3;20.805;12.777;18.193;20.634
19;4;23.519;15.777;15.87;20.879
19;5;24.886;17.366;16.753;21.082
19;6;36.517;25.083;5.591;20.982
19;7;37.516;25.43;6.265;20.872
19;8;36.709;24.014;7.452;21.386
19;9;25.443;15.657;18.58;23.267
19;10;22.287;13.17;23.56;25.408
19;11;20.635;12.125;26.709;26.617
19;12;18.706;10.939;30.751;28.206
19;13;19.336;11.537;34.487;28.77
19;14;17.604;10.461;39.101;29.418
19;15;17.42;10.383;47.921;30.53
19;16;19.468;12.443;53.88;30.67
19;17;22.502;15.057;36.608;28.803
19;18;25.453;18.198;24.706;26.125
19;19;27.126;19.627;15.986;24.124
19;20;36.038;26.374;7.556;22.876
19;21;46.048;31.667;4.356;22.648
19;22;43.833;30.491;4.319;22.587
19;23;39.156;26.773;4.88;22.16
20;0;30.216;21.357;9.389;22.247
20;1;27.643;19.639;11.508;22.56
